from_grid,to_grid,avg_time
2588646,2586730,60
3426041,3427957,43
3259367,3259366,15
3566030,3566029,60
2722743,2724659,15
3537154,3535238,18
2820436,2822352,30
3654240,3654241,15
3565886,3565887,75
3330328,3330327,15
2479544,2481460,15
2835834,2835833,30
3562160,3562159,60
3665658,3663742,30
3544962,3546878,15
3589084,3591000,30
3548656,3548655,78
3466276,3464360,135
3404972,3404973,15
3588930,3588931,15
3537373,3537374,30
3209564,3209563,18
3655938,3655939,15
3152304,3150388,15
3158048,3158049,15
2977671,2977672,15
3673274,3673273,45
3468193,3468194,67
3521839,3521840,52
3475936,3475937,37
3334180,3334181,15
3514295,3512379,37
3554766,3554767,15
3671339,3669423,39
3433699,3433698,35
2548460,2548461,15
3474105,3472189,30
2971909,2973825,33
3659835,3659836,37
3550566,3550565,172
3311238,3311239,15
3843723,3843724,52
3581317,3583233,60
3546748,3544832,17
3610109,3610108,30
3615833,3615832,22
3544813,3544812,53
3818800,3820716,15
2646184,2648100,15
3596654,3596655,22
2592474,2594390,61
3682963,3684879,15
3642589,3642588,15
3518057,3518056,15
3632968,3632967,75
2617396,2617395,15
3280456,3280457,16
3489262,3491178,25
3566096,3568012,16
3539173,3539174,15
2582924,2582923,15
3610008,3610009,27
3554520,3552604,15
3615788,3615789,45
3623485,3623486,30
3560268,3558352,18
3558399,3560315,15
2925952,2927868,16
3150175,3148259,27
3186631,3186632,15
3755624,3753708,75
3682823,3682824,36
3564179,3564178,15
3479783,3477867,43
2881803,2883719,15
3498851,3498852,91
3579350,3579351,15
3104170,3106086,15
2899051,2900967,45
3424133,3424134,51
3115686,3115687,15
3564165,3562249,25
2977662,2977661,18
3267037,3267036,45
3339872,3341788,15
3443293,3443292,52
3539160,3539161,60
3336016,3337932,15
3596785,3596784,15
3336090,3334174,15
3299713,3299712,18
2824310,2824309,45
3286453,3286454,15
2366505,2366504,15
3485604,3485603,15
3257707,3255791,15
3473938,3473937,19
3276868,3274952,30
3008333,3006417,15
2717046,2718962,45
3650250,3648334,15
3514194,3516110,75
3483513,3481597,42
3506540,3508456,30
3428003,3428004,38
3619606,3619605,30
3657927,3659843,40
2611602,2609686,15
3711494,3709578,19
3309395,3309396,30
2805246,2803330,15
3516142,3516143,57
3358990,3360906,50
3391583,3391584,30
3746017,3746018,60
3372440,3370524,15
3791956,3793872,35
3334101,3334100,37
3433708,3433709,25
3625368,3625367,41
2544617,2544618,30
3473947,3475863,15
3443307,3441391,15
3406907,3408823,45
3539076,3539077,20
3341904,3341905,15
3514180,3516096,110
3412771,3412772,30
3339956,3341872,20
3757541,3757542,37
3194457,3194458,15
3522010,3522009,22
3475866,3475867,28
3541013,3541012,465
3788156,3790072,15
3729130,3729129,15
2638527,2638526,15
3537294,3537293,24
3361092,3361093,30
3586959,3586958,108
3539094,3537178,17
