grid,reflection
1952792,1
1952793,2
1952794,3
1952795,4
1952796,5
1954680,6
1954681,7
1954682,8
1954683,9
1954684,10
1954690,11
1954691,12
1954692,13
1954701,14
1954702,15
1954703,16
1954704,17
1954705,18
1954706,19
1954707,20
1954713,21
1954714,22
1956591,23
1956592,24
1956593,25
1956594,26
1956595,27
1956601,28
1956602,29
1956603,30
1956604,31
1956605,32
1956609,33
1956610,34
1956611,35
1956612,36
1956613,37
1956614,38
1956615,39
1956616,40
1956617,41
1958505,42
1958506,43
1958548,44
1960421,45
1960464,46
1962336,47
1962337,48
1962380,49
1964246,50
1964247,51
1964249,52
1964250,53
1964251,54
1964297,55
1964298,56
1964299,57
1966156,58
1966157,59
1966158,60
1966159,61
1966160,62
1966161,63
1966164,64
1966165,65
1966216,66
1966217,67
1968069,68
1968070,69
1968071,70
1968134,71
1968135,72
1968136,73
1969983,74
1969984,75
1970053,76
1970054,77
1970060,78
1970061,79
1970062,80
1970063,81
1970064,82
1971870,83
1971871,84
1971872,85
1971873,86
1971874,87
1971897,88
1971898,89
1971899,90
1971971,91
1971972,92
1971973,93
1971974,94
1971975,95
1971980,96
1971981,97
1971982,98
1971983,99
1973786,100
1973791,101
1973792,102
1973812,103
1973813,104
1973900,105
1973901,106
1975702,107
1975703,108
1975720,109
1975721,110
1975722,111
1975727,112
1977619,113
1977626,114
1977627,115
1977633,116
1977634,117
1977635,118
1977639,119
1977640,120
1977641,121
1977642,122
1977643,123
1977735,124
1979534,125
1979543,126
1979544,127
1979651,128
1979652,129
1981450,130
1981461,131
1981462,132
1981463,133
1981568,134
1981569,135
1981570,136
1983365,137
1983366,138
1983487,139
1983488,140
1983489,141
1985281,142
1985406,143
1985407,144
1985408,145
1985409,146
1985410,147
1985411,148
1987196,149
1987328,150
1987329,151
1987330,152
1987331,153
1987332,154
1989112,155
1989249,156
1989250,157
1989266,158
1991028,159
1991167,160
1991168,161
1991169,162
1991170,163
1991171,164
1991182,165
1992944,166
1993088,167
1993089,168
1993097,169
1993098,170
1994860,171
1995006,172
1995007,173
1995008,174
1995012,175
1995013,176
1996776,177
1996777,178
1996925,179
1996926,180
1996927,181
1996929,182
1998693,183
2000609,184
2002525,185
2004441,186
2008270,187
2008271,188
2010186,189
2014018,190
2015934,191
2017850,192
2021680,193
2023596,194
2027426,195
2029342,196
2033171,197
2033172,198
2035086,199
2035087,200
2037001,201
2037002,202
2038916,203
2038917,204
2040831,205
2040832,206
2044661,207
2046576,208
2046577,209
2048490,210
2048491,211
2050405,212
2050406,213
2052320,214
2052321,215
2054236,216
2056151,217
2058067,218
2059983,219
2061899,220
2061900,221
2063817,222
2063818,223
2067652,224
2069568,225
2069569,226
2071485,227
2073401,228
2075318,229
2075319,230
2077235,231
2079152,232
2081068,233
2082984,234
2082985,235
2084900,236
2086816,237
2088732,238
2090648,239
2092564,240
2094480,241
2096397,242
2098313,243
2098314,244
2100230,245
2102146,246
2104062,247
2104063,248
2105979,249
2107896,250
2109812,251
2111729,252
2111730,253
2113647,254
2115563,255
2115564,256
2117480,257
2117481,258
2117482,259
2119398,260
2121314,261
2123230,262
2125146,263
2125147,264
2127063,265
2128979,266
2128980,267
2130896,268
2134728,269
2136644,270
2138560,271
2140476,272
2142392,273
2142393,274
2144309,275
2146225,276
2148141,277
2148142,278
2150058,279
2151975,280
2153891,281
2155808,282
2157724,283
2159641,284
2161557,285
2161558,286
2163474,287
2165391,288
2167307,289
2174973,290
2176889,291
2178805,292
2180721,293
2182637,294
2184553,295
2186469,296
2188384,297
2190300,298
2192216,299
2194131,300
2196047,301
2197963,302
2199879,303
2201795,304
2203711,305
2205626,306
2207542,307
2209456,308
2209457,309
2211365,310
2211366,311
2211368,312
2211369,313
2211370,314
2211371,315
2213279,316
2213280,317
2213281,318
2215193,319
2215194,320
2220934,321
2220935,322
2220936,323
2220937,324
2220938,325
2222848,326
2222849,327
2224763,328
2224764,329
2228593,330
2230509,331
2232425,332
2234341,333
2236257,334
2238173,335
2238174,336
2240090,337
2242006,338
2243923,339
2245839,340
2247755,341
2249671,342
2251587,343
2253503,344
2255418,345
2255419,346
2257334,347
2259249,348
2259250,349
2261165,350
2263081,351
2264997,352
2266913,353
2268829,354
2270745,355
2272661,356
2278407,357
2278408,358
2280320,359
2280321,360
2280322,361
2282236,362
2284152,363
2286068,364
2287984,365
2289900,366
2291816,367
2293732,368
2295648,369
2297564,370
2299480,371
2301396,372
2301397,373
2303313,374
2305229,375
2307142,376
2307143,377
2307144,378
2307145,379
2309057,380
2310973,381
2312889,382
2314804,383
2316720,384
2318636,385
2320552,386
2322468,387
2324384,388
2326298,389
2326299,390
2328214,391
2330129,392
2330130,393
2332045,394
