userid,pickupDate,pickuptime,pickoffDate,pickofftime,startLat,startLon,endLat,endLon,startGrid,endGrid
1373212801620000359,2013-07-08,00:00:01,2013-07-08,00:09:01,41.148126,-8.619795,41.139216,-8.62533,3508429,3504595
1373212867620000626,2013-07-08,00:01:07,2013-07-08,00:25:37,41.177196,-8.623503,41.11875,-8.662923,3519924,3496924
1373212868620000216,2013-07-08,00:01:08,2013-07-08,00:08:53,41.155056,-8.630208,41.180877,-8.65422,3512258,3521834
1373212884620000243,2013-07-08,00:01:24,2013-07-08,00:11:39,41.148612,-8.585847,41.158908,-8.626878,3508435,3512259
1373212925620000140,2013-07-08,00:02:05,2013-07-08,00:15:20,41.148576,-8.585658,41.146686,-8.60913,3508435,3508431
1373212956620000013,2013-07-08,00:02:36,2013-07-08,00:18:36,41.161113,-8.630019,41.104683,-8.568756,3514174,3491195
1373212956620000235,2013-07-08,00:02:36,2013-07-08,00:17:21,41.160924,-8.629236,41.207076,-8.714628,3514175,3531402
1373212979620000482,2013-07-08,00:02:59,2013-07-08,00:11:44,41.148558,-8.585676,41.146803,-8.609706,3508435,3508431
1373212980620000249,2013-07-08,00:03:00,2013-07-08,00:13:15,41.16123,-8.628966,41.147928,-8.608401,3514175,3508431
1373213002620000100,2013-07-08,00:03:22,2013-07-08,00:09:52,41.148612,-8.58564,41.145696,-8.606844,3508435,3508431
1373213016620000268,2013-07-08,00:03:36,2013-07-08,00:15:06,41.148567,-8.585937,41.160888,-8.64126,3508435,3514172
1373213019620000177,2013-07-08,00:03:39,2013-07-08,00:19:54,41.148585,-8.585676,41.205222,-8.572257,3508435,3531430
1373213032620000137,2013-07-08,00:03:52,2013-07-08,00:17:07,41.157351,-8.628471,41.192379,-8.706213,3512259,3525655
1373213053620000263,2013-07-08,00:04:13,2013-07-08,00:15:13,41.148612,-8.585712,41.161275,-8.6319,3508435,3514174
1373213062620000081,2013-07-08,00:04:22,2013-07-08,00:17:07,41.148567,-8.58564,41.16132,-8.640477,3508435,3514172
1373213101620000492,2013-07-08,00:05:01,2013-07-08,00:13:01,41.145732,-8.610939,41.160132,-8.641125,3508430,3514172
1373213114620000199,2013-07-08,00:05:14,2013-07-08,00:21:59,41.145372,-8.607537,41.23719,-8.669952,3508431,3542907
1373213115620000129,2013-07-08,00:05:15,2013-07-08,00:23:15,41.163399,-8.662905,41.153391,-8.608194,3514168,3510347
1373213145620000136,2013-07-08,00:05:45,2013-07-08,00:24:30,41.148468,-8.58609,41.161149,-8.640837,3508435,3514172
1373213149620000080,2013-07-08,00:05:49,2013-07-08,00:06:19,41.14593,-8.612631,41.145948,-8.612631,3508430,3508430
1373213159620000108,2013-07-08,00:05:59,2013-07-08,00:14:14,41.139531,-8.609256,41.145696,-8.614962,3504599,3508430
1373213163620000426,2013-07-08,00:06:03,2013-07-08,00:16:03,41.148585,-8.585721,41.15088,-8.604882,3508435,3510348
1373213165620000254,2013-07-08,00:06:05,2013-07-08,00:19:35,41.153643,-8.678772,41.140953,-8.614998,3510333,3506514
1373213202620000320,2013-07-08,00:06:42,2013-07-08,00:15:57,41.143788,-8.575659,41.137875,-8.612514,3506521,3504598
1373213208620000671,2013-07-08,00:06:48,2013-07-08,00:20:33,41.148639,-8.585928,41.180841,-8.65431,3508435,3521834
1373213234620000281,2013-07-08,00:07:14,2013-07-08,00:21:59,41.148612,-8.585766,41.14035,-8.614728,3508435,3506514
1373213239620000600,2013-07-08,00:07:19,2013-07-08,00:18:04,41.149728,-8.624214,41.180922,-8.654247,3508428,3521834
1373213262620000047,2013-07-08,00:07:42,2013-07-08,00:15:57,41.164866,-8.616051,41.144436,-8.60589,3514177,3506515
1373213282620000384,2013-07-08,00:08:02,2013-07-08,00:20:17,41.167773,-8.568099,41.148828,-8.585694,3516103,3508435
1373213299620000565,2013-07-08,00:08:19,2013-07-08,00:14:34,41.156622,-8.629092,41.146236,-8.617707,3512259,3508429
1373213300620000686,2013-07-08,00:08:20,2013-07-08,00:20:05,41.172795,-8.612163,41.146209,-8.617662,3518010,3508429
1373213301620000311,2013-07-08,00:08:21,2013-07-08,00:20:51,41.172786,-8.612271,41.147019,-8.633016,3518010,3508426
1373213351620000400,2013-07-08,00:09:11,2013-07-08,00:20:11,41.157333,-8.642835,41.144427,-8.605953,3512256,3506515
1373213467620000101,2013-07-08,00:11:07,2013-07-08,00:19:07,41.140647,-8.615556,41.147829,-8.611245,3506513,3508430
1373213476620000229,2013-07-08,00:11:16,2013-07-08,00:28:01,41.140665,-8.615592,41.236866,-8.669979,3506513,3542907
1373213522620000598,2013-07-08,00:12:02,2013-07-08,00:16:17,41.145624,-8.610831,41.154957,-8.604657,3508430,3510348
1373213530620000178,2013-07-08,00:12:10,2013-07-08,00:18:10,41.153022,-8.610156,41.140908,-8.610183,3510346,3506514
1373213531620000343,2013-07-08,00:12:11,2013-07-08,00:14:41,41.153904,-8.674074,41.155506,-8.663418,3510334,3512252
1373213536620000393,2013-07-08,00:12:16,2013-07-08,00:19:01,41.148576,-8.585928,41.147856,-8.606466,3508435,3508431
1373213594620000665,2013-07-08,00:13:14,2013-07-08,00:34:29,41.163462,-8.626419,41.164173,-8.610939,3514175,3514178
1373213595620000676,2013-07-08,00:13:15,2013-07-08,00:20:45,41.153787,-8.645796,41.142267,-8.615259,3510339,3506513
1373213619620000605,2013-07-08,00:13:39,2013-07-08,00:21:24,41.163435,-8.589258,41.148855,-8.585622,3514183,3508435
1373213723620000344,2013-07-08,00:15:23,2013-07-08,00:20:08,41.140728,-8.615538,41.149125,-8.603163,3506513,3508432
1373213729620000215,2013-07-08,00:15:29,2013-07-08,00:23:29,41.140665,-8.615556,41.163174,-8.583372,3506513,3514184
1373213732620000486,2013-07-08,00:15:32,2013-07-08,00:36:02,41.171265,-8.602173,41.207049,-8.327979,3518012,3531479
1373213733620000674,2013-07-08,00:15:33,2013-07-08,00:27:03,41.148567,-8.585829,41.177817,-8.57475,3508435,3519934
1373213768620000675,2013-07-08,00:16:08,2013-07-08,00:52:53,41.169879,-8.662293,41.174253,-8.663364,3516084,3518000
1373213818620000435,2013-07-08,00:16:58,2013-07-08,00:24:43,41.145624,-8.61093,41.156316,-8.646057,3508430,3512255
1373213822620000239,2013-07-08,00:17:02,2013-07-08,00:28:02,41.153832,-8.674065,41.166486,-8.6265,3510334,3516091
1373213860620000419,2013-07-08,00:17:40,2013-07-08,00:24:55,41.145669,-8.610885,41.138208,-8.611146,3508430,3504598
1373213864620000483,2013-07-08,00:17:44,2013-07-08,00:32:14,41.158017,-8.598051,41.157,-8.653869,3512265,3512254
1373213873620000007,2013-07-08,00:17:53,2013-07-08,00:24:23,41.16006,-8.624025,41.147307,-8.617896,3514176,3508429
1373213890620000363,2013-07-08,00:18:10,2013-07-08,00:30:25,41.180562,-8.58258,41.236983,-8.670087,3521848,3542906
1373213919620000178,2013-07-08,00:18:39,2013-07-08,00:25:09,41.140917,-8.610174,41.14701,-8.603784,3506514,3508432
1373213930620000678,2013-07-08,00:18:50,2013-07-08,00:27:05,41.148567,-8.585676,41.146524,-8.604891,3508435,3508432
1373213998620000632,2013-07-08,00:19:58,2013-07-08,00:29:58,41.182695,-8.600076,41.181417,-8.654364,3521844,3521834
1373214021620000653,2013-07-08,00:20:21,2013-07-08,00:33:36,41.148576,-8.585685,41.137767,-8.618265,3508435,3504597
